source,target,weight
1,23,3
1,28,3
1,35,3
1,49,3
1,59,3
1,62,3
1,64,3
1,68,3
1,97,3
1,104,3
1,108,3
1,114,3
1,129,3
1,130,3
1,141,3
1,151,3
1,156,3
1,164,3
1,19,2
1,20,2
1,32,2
1,41,2
1,74,2
1,82,2
1,125,2
1,131,2
1,146,2
1,12,1
1,24,1
1,30,1
1,33,1
1,39,1
1,48,1
1,69,1
1,75,1
1,88,1
1,89,1
1,91,1
1,96,1
1,101,1
1,103,1
1,106,1
1,109,1
1,113,1
1,126,1
1,134,1
1,135,1
1,142,1
1,150,1
1,159,1
2,59,3
2,62,3
2,104,3
2,82,3
2,125,3
2,146,3
2,24,3
2,75,3
2,101,3
2,103,3
2,109,3
2,150,3
2,16,3
2,17,3
2,27,3
2,40,3
2,43,3
2,60,3
2,80,3
2,90,3
2,92,3
2,105,3
2,110,3
2,115,3
2,123,3
2,158,3
2,168,3
2,23,2
2,129,2
2,156,2
2,19,2
2,33,2
2,39,2
2,48,2
2,89,2
2,134,2
2,135,2
2,14,2
2,15,2
2,37,2
2,52,2
2,54,2
2,58,2
2,116,2
2,124,2
2,154,2
2,161,2
2,35,1
2,68,1
2,97,1
2,114,1
2,164,1
2,20,1
2,41,1
2,74,1
2,131,1
2,12,1
2,30,1
2,106,1
2,113,1
2,126,1
2,13,1
2,18,1
2,22,1
2,29,1
2,34,1
2,44,1
2,46,1
2,50,1
2,51,1
2,55,1
2,56,1
2,63,1
2,66,1
2,67,1
2,70,1
2,72,1
2,73,1
2,76,1
2,78,1
2,83,1
2,84,1
2,100,1
2,102,1
2,107,1
2,112,1
2,120,1
2,122,1
2,127,1
2,128,1
2,132,1
2,133,1
2,138,1
2,139,1
2,144,1
2,145,1
2,152,1
2,153,1
2,157,1
2,163,1
2,165,1
3,62,3
3,146,3
3,75,3
3,17,3
3,43,3
3,80,3
3,92,3
3,110,3
3,115,3
3,15,3
3,154,3
3,12,3
3,102,3
3,128,3
3,49,3
3,57,3
3,137,3
3,147,3
3,59,2
3,103,2
3,105,2
3,123,2
3,158,2
3,168,2
3,156,2
3,14,2
3,58,2
3,116,2
3,18,2
3,159,2
3,42,2
3,47,2
3,61,2
3,93,2
3,95,2
3,166,2
3,82,1
3,125,1
3,109,1
3,16,1
3,40,1
3,60,1
3,23,1
3,129,1
3,33,1
3,48,1
3,124,1
3,97,1
3,114,1
3,41,1
3,131,1
3,30,1
3,113,1
3,126,1
3,13,1
3,51,1
3,63,1
3,66,1
3,67,1
3,72,1
3,76,1
3,100,1
3,122,1
3,133,1
3,139,1
3,163,1
3,28,1
3,141,1
3,88,1
3,91,1
3,142,1
3,26,1
3,31,1
3,71,1
3,77,1
3,79,1
3,81,1
3,85,1
3,87,1
3,98,1
3,117,1
3,121,1
3,148,1
4,75,3
4,92,3
4,102,3
4,158,3
4,116,3
4,40,3
4,124,3
4,131,3
4,67,3
4,122,3
4,163,3
4,27,3
4,90,3
4,89,3
4,54,3
4,29,3
4,145,3
4,96,3
4,53,3
4,17,2
4,128,2
4,123,2
4,95,2
4,63,2
4,134,2
4,56,2
4,127,2
4,157,2
4,43,1
4,80,1
4,97,1
4,66,1
4,77,1
5,62,3
5,110,3
5,15,3
5,137,3
5,159,3
5,61,3
5,93,3
5,37,3
5,70,3
5,112,3
5,69,3
5,42,2
5,71,2
5,27,1
5,165,1
6,62,3
6,69,3
6,75,3
6,56,3
6,146,3
6,49,3
6,103,3
6,58,3
6,18,3
6,82,3
6,125,3
6,109,3
6,60,3
6,23,3
6,33,3
6,126,3
6,72,3
6,91,3
6,85,3
6,24,3
6,135,3
6,35,3
6,164,3
6,74,3
6,83,3
6,144,3
6,108,3
6,130,3
6,94,3
6,136,3
6,42,2
6,54,2
6,17,2
6,63,2
6,77,2
6,115,2
6,57,2
6,59,2
6,168,2
6,16,2
6,48,2
6,30,2
6,113,2
6,101,2
6,106,2
6,22,2
6,44,2
6,84,2
6,132,2
6,153,2
6,64,2
6,151,2
6,61,1
6,71,1
6,47,1
6,129,1
6,76,1
6,28,1
6,141,1
6,88,1
6,98,1
6,148,1
6,104,1
6,34,1
6,32,1
6,38,1
6,160,1
7,62,3
7,56,3
7,146,3
7,103,3
7,18,3
7,125,3
7,33,3
7,126,3
7,91,3
7,135,3
7,83,3
7,130,3
7,17,3
7,115,3
7,16,3
7,106,3
7,76,3
7,104,3
7,38,3
7,40,3
7,122,3
7,90,3
7,96,3
7,19,3
7,78,3
7,99,3
7,69,2
7,60,2
7,72,2
7,24,2
7,144,2
7,77,2
7,30,2
7,101,2
7,22,2
7,44,2
7,131,2
7,31,2
7,161,2
7,49,1
7,74,1
7,108,1
7,54,1
7,57,1
7,153,1
7,64,1
7,151,1
7,47,1
7,129,1
7,165,1
7,67,1
7,163,1
7,89,1
7,150,1
7,39,1
7,155,1
8,62,3
8,67,3
8,61,3
8,15,3
8,27,3
8,116,3
8,124,3
8,29,3
8,123,3
8,14,3
8,138,3
8,56,2
8,135,2
8,17,2
8,40,2
8,131,2
8,89,2
8,58,2
8,43,2
8,13,2
8,45,2
8,106,1
8,96,1
8,161,1
8,129,1
8,35,1
8,32,1
8,53,1
8,121,1
8,120,1
9,62,3
9,75,3
9,71,3
9,105,3
9,79,3
9,61,2
9,116,2
9,56,2
9,17,2
9,32,2
9,33,2
9,19,2
9,30,2
9,57,2
9,42,2
9,95,2
9,67,1
9,15,1
9,124,1
9,123,1
9,40,1
9,131,1
9,43,1
9,161,1
9,126,1
9,16,1
9,23,1
9,48,1
9,92,1
9,145,1
9,134,1
9,166,1
9,107,1
9,119,1
10,62,3
10,71,3
10,56,3
10,17,3
10,42,3
10,15,3
10,131,3
10,23,3
10,135,3
10,58,3
10,13,3
10,129,3
10,35,3
10,121,3
10,120,3
10,146,3
10,18,3
10,125,3
10,130,3
10,115,3
10,104,3
10,99,3
10,60,3
10,72,3
10,24,3
10,144,3
10,74,3
10,108,3
10,64,3
10,151,3
10,47,3
10,155,3
10,82,3
10,85,3
10,136,3
10,63,3
10,168,3
10,113,3
10,84,3
10,132,3
10,28,3
10,141,3
10,98,3
10,148,3
10,160,3
10,112,3
10,127,3
10,97,3
10,66,3
10,12,3
10,147,3
10,114,3
10,142,3
10,81,3
10,87,3
10,117,3
10,55,3
10,36,3
10,111,3
10,118,3
10,140,3
10,167,3
10,75,2
10,32,2
10,33,2
10,19,2
10,30,2
10,57,2
10,126,2
10,107,2
10,138,2
10,45,2
10,91,2
10,83,2
10,76,2
10,38,2
10,101,2
10,44,2
10,31,2
10,49,2
10,153,2
10,39,2
10,59,2
10,88,2
10,34,2
10,159,2
10,37,2
10,156,2
10,41,2
10,51,2
10,52,2
10,68,2
10,162,2
10,161,1
10,134,1
10,106,1
10,96,1
10,122,1
10,22,1
10,109,1
10,158,1
10,157,1
10,20,1
11,62,3
11,120,3
11,160,3
11,127,3
11,81,3
11,87,3
11,107,3
11,138,3
11,44,3
11,31,3
11,39,3
11,156,3
11,41,3
11,51,3
11,68,3
11,161,3
11,150,3
11,26,3
11,46,3
11,86,3
11,149,3
11,104,2
11,82,2
11,132,2
11,57,2
11,29,2
11,100,2
11,139,2
11,71,1
11,17,1
11,15,1
11,74,1
11,98,1
11,148,1
11,66,1
11,142,1
11,33,1
11,30,1
11,91,1
11,88,1
11,34,1
11,105,1
11,61,1
11,89,1
11,90,1
